_id,BUSINESS_TYPE_ID,BUSINESS_TYPE_DESC,FUEL_DISTRIBUTION_COMPANY_ID,FUEL_DISTRIBUTION_COMPANY_DESC,LPG_DISTRIBUTION_COMPANY_ID,LPG_DISTRIBUTION_COMPANY_DESC,FACILITY_TYPE_ID,FACILITY_TYPE_DESC,COUNTY_UAVT_CODE,COUNTY_NAME,NEIGHBORHOOD_UAVT_CODE,NEIGHBORHOOD_NAME,LATITUDE,LONGTITUDE
426,2,Akaryakıt Lpg,12,Petrol Ofisi,37,Petrol Ofisi,1,Aktif,1835,PENDİK,40627,DOĞU,,
427,2,Akaryakıt Lpg,10,Opet,10,Aygaz,1,Aktif,1835,PENDİK,40645,ORTA,40.88658933,29.24185877
428,2,Akaryakıt Lpg,12,Petrol Ofisi,10,Aygaz,1,Aktif,1336,GAZİOSMANPAŞA,40449,YILDIZTABYA,41.06579205,28.93356718
429,1,Akaryakıt,19,Sunpet,-99,Bilinmiyor,1,Aktif,1659,ŞİLE,191931,DEĞİRMENÇAYIRI,40.98275215,29.66576089
430,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,2048,ARNAVUTKÖY,191977,TAYAKADIN,41.26494688,28.68640353
431,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1663,ŞİŞLİ,40709,TEŞVİKİYE,41.05601313,28.99761204
432,2,Akaryakıt Lpg,15,Total,42,Totalgaz,1,Aktif,2004,BAĞCILAR,40171,DEMİRKAPI,41.04689728,28.83445194
433,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1663,ŞİŞLİ,40694,FULYA,41.06122011,29.00124934
434,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1708,ÜSKÜDAR,40788,BULGURLU,41.0185385,29.08457534
435,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1604,SARIYER,40671,SARIYER MERKEZ,41.17320357,29.05401308
436,1,Akaryakıt,10,Opet,10,Aygaz,1,Aktif,2054,SANCAKTEPE,40576,FATİH,40.95684723,29.21389622
437,1,Akaryakıt,12,Petrol Ofisi,-99,Bilinmiyor,1,Aktif,1782,BÜYÜKÇEKMECE,40887,MİMAR SİNAN,41.02027443,28.55935159
438,2,Akaryakıt Lpg,20,Full,50,Full Gaz,1,Aktif,1835,PENDİK,40653,YENİŞEHİR,40.92653517,29.31562524
439,1,Akaryakıt,10,Opet,-99,Bilinmiyor,1,Aktif,1708,ÜSKÜDAR,98666,ÇENGELKÖY,41.04893433,29.05456576
440,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,-99,Bilinmiyor,1,Aktif,1886,BAYRAMPAŞA,40206,TERAZİDERE,41.02805148,28.89936721
441,2,Akaryakıt Lpg,10,Opet,29,Mogaz,1,Aktif,2048,ARNAVUTKÖY,191989,YASSIÖREN,41.18348043,28.59808428
442,1,Akaryakıt,15,Total,42,Totalgaz,1,Aktif,1421,KADIKÖY,40525,SAHRAYICEDİT,40.98346922,29.09190576
443,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,1739,ZEYTİNBURNU,40505,TOZKOPARAN,41.02846585,28.91659513
444,2,Akaryakıt Lpg,3,Aytemiz,11,Aytemiz,1,Aktif,1421,KADIKÖY,40509,ACIBADEM,41.00477289,29.035356
445,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2015,TUZLA,40722,ŞİFA,40.82407346,29.35201815
446,1,Akaryakıt,19,Sunpet,-99,Bilinmiyor,1,Aktif,1622,SİLİVRİ,191841,SEYMEN,41.15407884,28.16835354
447,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2049,ATAŞEHİR,40533,KAYIŞDAĞI,40.98849474,29.14550502
448,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2004,BAĞCILAR,40158,KAZIM KARABEKİR,41.02869735,28.84646128
449,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,1336,GAZİOSMANPAŞA,40460,YENİ MAHALLE,41.07809364,28.89904062
450,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,2015,TUZLA,40718,EVLİYA ÇELEBİ,40.83917265,29.2954312
451,2,Akaryakıt Lpg,5,BP,14,Bp Gaz,1,Aktif,2016,ESENLER,40354,HAVAALANI,41.05624872,28.87563167
452,2,Akaryakıt Lpg,12,Petrol Ofisi,47,Pogaz,1,Aktif,2004,BAĞCILAR,40162,MERKEZ,41.02749641,28.85739339
453,1,Akaryakıt,3,Aytemiz,-99,Bilinmiyor,1,Aktif,2052,ÇEKMEKÖY,40753,ÇAMLIK,41.01450336,29.19039046
454,1,Akaryakıt,5,BP,-99,Bilinmiyor,1,Aktif,2010,GÜNGÖREN,40506,MEHMET NESİH ÖZMEN,41.00799973,28.8817147
455,2,Akaryakıt Lpg,13,Shell-Turcas Petrol,39,Shell Gaz,1,Aktif,1823,KÜÇÜKÇEKMECE,40592,İNÖNÜ,41.02458108,28.80633273
456,2,Akaryakıt Lpg,12,Petrol Ofisi,36,Petro Gaz,1,Aktif,1708,ÜSKÜDAR,40790,CUMHURİYET,41.01139309,29.07532564
457,1,Akaryakıt,7,Enerji Petrol,-99,Bilinmiyor,1,Aktif,1622,SİLİVRİ,40938,ORTAKÖY,41.09601621,28.37413552
